
molecule: nhchoh
file: /home/vanka/tamal/prebiotic_synthesis/sugar_synthesis_HCNH2O_0.75timestep_2.2.md/scr/coord.mol 
frame range: 0 - 78860
inc=1

0 0
1499 2 [32, 3, 5, 56, 30, 31] [4, 18, 19, 20, 54, 55]
1508 1 [4, 18, 19, 20, 54, 55]
1526 2 [32, 3, 5, 56, 30, 31] [4, 18, 19, 20, 54, 55]
2999 1 [4, 18, 19, 20, 54, 55]
3212 0
3816 1 [32, 3, 5, 56, 30, 31]
4499 0
4724 1 [32, 3, 71, 56, 30, 31]
5999 0
10522 1 [4, 39, 40, 41, 51, 58]
11999 0
54145 1 [39, 8, 7, 13, 46, 57]
54153 0
54176 1 [39, 8, 7, 13, 46, 57]
54188 0
73839 1 [32, 5, 43, 45, 47, 18]
73841 0

1499 2 [32, 3, 5, 56, 30, 31] [4, 18, 19, 20, 54, 55]
1508 1 [4, 18, 19, 20, 54, 55]
3816 1 [32, 3, 5, 56, 30, 31]
4724 1 [32, 3, 71, 56, 30, 31]
10522 1 [4, 39, 40, 41, 51, 58]
54145 1 [39, 8, 7, 13, 46, 57]
73839 1 [32, 5, 43, 45, 47, 18]

1499 [32, 3, 5, 56, 30, 31]
1499 [4, 18, 19, 20, 54, 55]
4724 [32, 3, 71, 56, 30, 31]
10522 [4, 39, 40, 41, 51, 58]
54145 [39, 8, 7, 13, 46, 57]
73839 [32, 5, 43, 45, 47, 18]

