
molecule: nh2cho
file: /home/vanka/tamal/prebiotic_synthesis/sugar_synthesis_HCNH2O_0.75timestep_after1000000.md/scr/coors.mol 
frame range: 0 - 100000
inc=1

0 1 [35, 70, 7, 42, 13, 24]
1499 0
3024 1 [34, 69, 10, 21, 23, 28]
3025 0
3820 1 [35, 5, 7, 42, 24, 58]
3859 0
4499 1 [68, 38, 12, 45, 16, 19]
4618 2 [35, 5, 7, 42, 24, 58] [68, 38, 12, 45, 16, 19]
5346 3 [35, 5, 7, 42, 24, 58] [68, 38, 12, 45, 16, 19] [34, 69, 40, 52, 21, 23]
5378 2 [35, 5, 7, 42, 24, 58] [68, 38, 12, 45, 16, 19]
5383 3 [35, 5, 7, 42, 24, 58] [68, 38, 12, 45, 16, 19] [34, 69, 40, 52, 21, 23]
5999 1 [35, 5, 7, 42, 24, 58]
7499 0
7746 1 [34, 69, 23, 52, 21, 55]
7756 0
7799 1 [34, 69, 23, 52, 21, 55]
7817 0
7838 1 [34, 69, 23, 52, 21, 55]
7849 0
7864 1 [34, 69, 23, 52, 21, 55]
7877 0
7898 1 [34, 69, 23, 52, 21, 55]
9008 0
9010 1 [34, 69, 23, 52, 21, 55]
10499 0
23999 1 [35, 7, 12, 45, 16, 53]
26999 0
27012 1 [35, 7, 12, 45, 16, 53]
27050 0
27071 1 [35, 7, 12, 45, 16, 53]
29999 0
32025 1 [64, 35, 12, 45, 16, 53]
34499 0
34514 1 [64, 35, 12, 45, 16, 53]
34526 0
34715 1 [64, 35, 12, 45, 16, 53]
34808 0
35048 1 [64, 35, 12, 45, 16, 53]
37499 0
63063 1 [64, 67, 47, 21, 57, 26]
64499 0
76507 1 [64, 3, 5, 9, 14, 59]
77999 0
88499 1 [1, 4, 37, 41, 15, 63]
88548 0
88590 1 [1, 4, 37, 41, 15, 63]
88633 0
88675 1 [1, 4, 37, 41, 15, 63]
88736 0
88755 1 [1, 4, 37, 41, 15, 63]
95999 0
96031 1 [1, 4, 37, 41, 15, 63]
96109 0
96181 1 [1, 4, 37, 41, 15, 63]
96305 0

0 1 [35, 70, 7, 42, 13, 24]
3024 1 [34, 69, 10, 21, 23, 28]
3820 1 [35, 5, 7, 42, 24, 58]
4499 1 [68, 38, 12, 45, 16, 19]
4618 2 [35, 5, 7, 42, 24, 58] [68, 38, 12, 45, 16, 19]
5346 3 [35, 5, 7, 42, 24, 58] [68, 38, 12, 45, 16, 19] [34, 69, 40, 52, 21, 23]
7746 1 [34, 69, 23, 52, 21, 55]
23999 1 [35, 7, 12, 45, 16, 53]
32025 1 [64, 35, 12, 45, 16, 53]
63063 1 [64, 67, 47, 21, 57, 26]
76507 1 [64, 3, 5, 9, 14, 59]
88499 1 [1, 4, 37, 41, 15, 63]

0 [35, 70, 7, 42, 13, 24]
3024 [34, 69, 10, 21, 23, 28]
3820 [35, 5, 7, 42, 24, 58]
4499 [68, 38, 12, 45, 16, 19]
5346 [34, 69, 40, 52, 21, 23]
7746 [34, 69, 23, 52, 21, 55]
23999 [35, 7, 12, 45, 16, 53]
32025 [64, 35, 12, 45, 16, 53]
63063 [64, 67, 47, 21, 57, 26]
76507 [64, 3, 5, 9, 14, 59]
88499 [1, 4, 37, 41, 15, 63]

